valueA	valueB	valueC
1	72街	广州
1	73街	深圳
1	74街	东莞
1	75街	清远
1	76街	韶关
1	77街	珠海
2	圣安娜饼屋	广州
2	圣安娜饼屋	惠州
2	圣安娜饼屋	佛山
2	圣安娜饼屋	顺德
2	圣安娜饼屋	江门
3	沁园	重庆
3	沁园	成都
3	沁园	贵阳
4	廖记棒棒鸡	成都
5	BreadTalk（面包新语）	深圳
5	BreadTalk（面包新语）	东莞
5	BreadTalk（面包新语）	广州
5	BreadTalk（面包新语）	佛山
6	Heyyo（喜乳酪）	深圳
6	Heyyo（喜乳酪）	东莞
6	Heyyo（喜乳酪）	广州
6	Heyyo（喜乳酪）	佛山
6	Heyyo（喜乳酪）	沈阳
7	广州贡茶	广州
8	金康	广州
9	福州周麻婆餐饮管理有限公司	福州
10	西安米旗食品有限公司	西安
11	福州市鼓楼区壮安面包店—华丰贺氏	福州
12	福州新安德鲁森食品有限公司	福州
13	福州市曾福记餐饮有限公司—久号餐饮	福州
14	福州市台江区诚德餐饮有限公司——华莱士	福州
15	福州市鼓楼区娟澳饮品店—澳牛	福州
16	广州市芙蓉楼餐饮有限公司	广州
17	春满园饮食管理服务(深圳)集团有限公司	深圳
18	深圳市禾绿餐饮管理有限公司	深圳
19	深圳润园四季餐饮有限公司	深圳
20	深圳市珍味汤馆饮食有限公司	深圳
21	深圳市礼悦食品有限公司	深圳
22	深圳市金蝶轩食品有限公司	深圳
23	深圳市龙岗区南湾新一站永盛豆浆店	深圳
24	深圳市钜田食品有限公司	深圳
25	青岛丹香食品有限公司	青岛
26	厦门新澳联食品有限公司	厦门
27	龙岩新澳联食品有限公司	龙岩
28	超意兴快餐	济南
29	眉州东坡/川商卡	北京
30	一宗（北京）餐饮管理有限公司	北京
31	一宗（北京）餐饮管理有限公司第一分店	北京
32	一宗（北京）餐饮管理有限公司第二分店	北京
33	一宗（北京）餐饮管理有限公司第五分店	北京
34	一宗（北京）餐饮管理有限公司上海陆家嘴一店	上海
35	腾大、科兴周边小商户	深圳
36	北京易思凯斯企业管理有限公司Esquires Coffee	北京
37	北京联合渝乡人家餐饮有限公司	北京
38	北京渝乡人家川菜馆	北京
39	北京京富渝乡餐饮有限公司	北京
40	北京京港渝乡餐饮有限公司	北京
41	北京京丽渝乡餐饮有限公司	北京
42	北京京颐渝乡餐饮有限公司	北京
43	北京京左渝乡餐饮有限公司	北京
44	北京渝乡尚品餐饮有限公司	北京
45	北京渝乡东方国际餐饮有限公司	北京
46	上海东正渝乡餐饮有限公司	上海
47	上海东环渝乡餐饮有限公司	上海
48	上海聚晟餐饮有限公司	上海
